AwardId,AwardedOn,AwardName,AwardAbbr,AwardSystem,ClaspLevel,ClaspText,GazetteName,GazetteGivenName,GazetteSurname,GazetteSuburb,GazetteState,GazettePostcode,AnnouncementEvent,Division,AdditionalInfo,Citation,MediaNote
2010568,01/26/2022 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Ms Stephanie BARKER,Stephanie,BARKER,Allambie Heights,NSW,2100,Australia Day 2022 Honours List,,NSW Public Service,For outstanding public service to urban planning in New South Wales.,"Ms Stephanie Barker is currently serving as Chief City Planner at Western Parkland City Authority. Considered one of New South Wales leading strategic planners and an influential urban planner, Ms Barker has made significant contributions to the urban planning landscape of Greater Sydney. Throughout her career, Ms Barker has been instrumental in the establishment and delivery of a number of large-scale planning projects. At the Greater Sydney Commission (GSC) she developed the Greater Sydney Region Plan A Metropolis of Three Cities and coordinated teams to develop strategic planning policy to ensure a genuine alignment of strategic land use and infrastructure planning. She established an approach to partnering with agencies which set a new benchmark for strategic planning in New South Wales. She pioneered a strategic planning 'Community of Practice' between the New South Wales Government and local councils, building capacity in local councils to embrace strategic planning and incorporate it into their own local plans. Ms Barker also led the development of the innovative report The Pulse of Greater Sydney a dashboard that brings together data from across government to track Greater Sydney's evolution towards a Metropolis of Three Cities.  Ms Barker's recent contributions to the Western Parkland City Authority, and specifically to the Western City District Plan, are helping to shape Western Sydney's future with housing, infrastructure and public land use befitting a global city. She is coordinating engagement with over 250 representatives from 40 organisations, encouraging open discussions about complex problems to ensure the most effective solutions are identified.  Ms Barker has made outstanding contributions to the New South Wales community through transformational urban planning, supported by her use of innovative methodologies, strong leadership and commitment to collaboration and excellence. She is dedicated to the pursuit of better outcomes for community and was recognised as 2019 New South Wales Planner of the Year. In addition to her technical knowledge, she has a deep commitment to professional development and knowledge sharing. "
2010569,01/26/2022 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Ms Kathryn Teresa BOYD,Kathryn Teresa,BOYD,,NSW,2087,Australia Day 2022 Honours List,,NSW Public Service,"For outstanding public service in the provision of legal advice as General Counsel in New South Wales, particularly during the 2019-2020 bushfire season and COVID-19 pandemic.","Ms Kathryn Boyd currently serves as Deputy Secretary, General Counsel at New South Wales Department of Premier and Cabinet.  Ms Boyd's work as General Counsel has been critical to New South Wales's world-leading response to the COVID-19 pandemic. In 2020-2021 Ms Boyd led a team of skilled professionals who worked across government to support the drafting of an unprecedented 121 public health orders to help prevent the spread of COVID-19. She also contributed to the preparation of over 50 acts, regulations, exemptions and planning instruments directly related to COVID-19. She worked collaboratively with key stakeholders to ensure the health orders were comprehensive and clear for members of the public to follow. Ms Boyd delivered clear, factual, measured and lawful advice, assisting the New South Wales Government to manage the ongoing COVID-19 pandemic, maintain public safety and best support the economy.  In 2019-2020, Ms Boyd provided support to the Premier for the delivery of the Government's response to the devastating bushfire season in New South Wales. She was responsible for developing three State of Emergency declarations which enabled emergency services to act rapidly and efficiently to protect people and property.  Ms Boyd undertakes complex, high-risk and fast-paced work with excellence, applying her signature analytical skills to deliver high quality results in a collaborative style. She leads her work with expertise and care, playing a critical role in the New South Wales Government's response to ensure public safety. "
2010570,01/26/2022 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Ms Gemma Anne BRODERICK,Gemma Anne,BRODERICK,St Leonards,NSW,2065,Australia Day 2022 Honours List,,NSW Public Service,For outstanding public service to legal and regulatory services in public health in New South Wales.,"Ms Gemma Broderick is currently serving as Special Counsel, Legislation and Policy in the Legal and Regulatory Services at the New South Wales Ministry of Health. Throughout her career, Ms Broderick has made significant contributions to improving legal and regulatory services in the New South Wales Health service.  Ms Broderick is a highly capable legal professional with extensive knowledge and understanding of health-related legislation and policy. Her ability to provide frank and considered expert advice has been critical during the COVID-19 pandemic. Ms Broderick has driven the development of numerous and often complex public health orders designed to limit the transmission of COVID-19. Her knowledge of the law, public health and operational health issues has been paramount in the development of these rapidly changing and multifaceted orders. Her sharp intellect, strong analytical skills, eye for detail and deep understanding of existing legislation has allowed for the time sensitive development of legislative instruments to support the NSW Health response.  Ms Broderick has demonstrated a high degree of skill in undertaking socio-economic appraisals for legislative and regulatory projects. She has been a trusted NSW Health representative at national and state level committees and working groups. She has been influential in the development of important legislation including managing the statutory reviews of the Poisons and Therapeutic Goods legislation; the Public Health Act and the Public Health Amendment (Review) Act; and the Human Tissue Act. These significant pieces of work required close collaboration with policy owners and extensive stakeholder engagement. Ms Broderick was able to negotiate compromises to address stakeholder concerns while achieving policy objectives. Ms Broderick applies her prodigious legal and policy mind to deliver highly practical and innovative solutions to difficult problems in a very complex sector. She does so with sound judgement and an ethical and professional approach to work, while fostering a supportive environment for staff and stakeholders. "
2010571,01/26/2022 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Ms Carmel Mary DONNELLY,Carmel Mary,DONNELLY,Lake Conjola,NSW,2539,Australia Day 2022 Honours List,,NSW Public Service,For outstanding public service to regulatory reforms in New South Wales.,"Ms Carmel Donnelly's public service career is extensive, most recently serving as the first dedicated Chief Executive Officer at the State Insurance Regulatory Authority (SIRA). Throughout her career, Ms Donnelly made significant contributions to improve financial, economic, health and social outcomes for people in New South Wales. Ms Donnelly built SIRA into a trusted, effective and independent regulator of statutory insurance schemes that prioritised the interests of injured people and policy holders, and held insurers accountable for their performance and public outcomes. Following the Hayne Royal Commission, Ms Donnelly established ten Regulatory Approach Principles to guide SIRA's regulatory approach and inform stakeholders of its focus, how decisions were made, and how it would engage on matters of scheme design and compliance. She also introduced Customer Service Conduct Principles to ensure that insurers delivered customer service to meet community expectations. Her focus was on achieving the best possible outcomes for injured people and compliance with the law. Ms Donnelly led the delivery of the 2017 CTP Green Slip reform package, returning $300 million to New South Wales vehicle owners through reduced premiums and extended benefits for people injured in a motor vehicle accident. She worked to consistently improve public trust and transparency in the New South Wales personal injury schemes, and in 2019 she commenced publishing information about SIRA's compliance and enforcement action.  Ms Donnelly was an early advocate for mentally healthy workplaces, employees with a disability, and Indigenous people in the public service. She is renowned as a leader with unrivalled integrity and a passion for improving outcomes. Her courage, resilience and collaborative approach, combined with a steadfast commitment to public service have underpinned her impact as a public sector leader. "
2010572,01/26/2022 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Professor Dominic Edmund DWYER,Dominic Edmund,DWYER,Epping,NSW,2121,Australia Day 2022 Honours List,,NSW Public Service,For outstanding public service as an infectious disease expert and public health advisor in New South Wales.,"Professor Dominic Dwyer is currently serving as the Medical Virologist and Director of Public Health Pathology at New South Wales Health Pathology. As a medical virologist and infectious diseases physician, Professor Dwyer has made significant contributions to public health research. One focus area of his work is viral diseases of public health importance, which has seen him make invaluable contributions throughout the COVID-19 pandemic. Professor Dwyer led an expert team at the Institute of Clinical Pathology and Medical Research (ICPMR) at Westmead Hospital, developing scientific breakthroughs in the health response to the COVID-19 pandemic. In February 2020, his team grew the live coronavirus from samples from infected New South Wales patients, and sequenced the virus genome confirming linkages with Wuhan, China. Performing virus genomic surveillance at this scale and in real time had never been attempted in Australia, and as local transmission began to spread, virus genomics was crucial to identifying links between cases. Collaborating with experts in viral evolution ensured the robustness of the results generated, which have helped inform the public health response to the pandemic. Professor Dwyer has participated in public health activities in Australia and overseas, and was one of only ten elite international researchers appointed to the World Health Organisation's team to investigate the origins of SARS-CoV-2, the cause of COVID-19. His research in viral diseases includes human immunodeficiency virus (HIV), influenza and other respiratory viruses and arboviruses. He leads an antiviral trials unit that has participated in over 80 studies of antiviral drugs and vaccines. Professor Dwyer's influenza research includes assessing interventions to prevent influenza transmission in closed environments and developing assays for seasonal and pandemic influenza. His research and work at the Centre for Infectious Diseases and Microbiology has enhanced the laboratory investigative capacity in New South Wales for infectious disease outbreaks, with a focus on rapid detection and molecular epidemiology of outbreak and emerging viruses. Professor Dwyer is an exemplary public servant who is a role model for collaborative leadership and innovative contributions. He is a trusted voice within the public health community and shows unwavering commitment and resilience to deliver results. "
2010573,01/26/2022 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Mr Mark Patrick GREENTREE,Mark Patrick,GREENTREE,Bonnet Bay,NSW,2226,Australia Day 2022 Honours List,,NSW Public Service,For outstanding public service to improved digital learning and innovation to support education in New South Wales.,"Mr Mark Greentree commenced service in the New South Wales education sector in 1994 and is currently serving as the Director - Technology 4 Learning at New South Wales Department of Education. His commitment to high quality digital learning and Science, Technology, Engineering, and Mathematics (STEM) education in NSW public schools has delivered significant outcomes for students and families. In his current role, Mr Greentree is responsible for the annual rollout of computer devices into New South Wales schools for educational use. Since 2017, he has overseen the delivery of over 170,000 individual devices into schools which has been critical for student learning during the COVID-19 response. Mr Greentree has shown exceptional state-wide leadership and has implemented initiatives and reforms to prepare all students in New South Wales Public Schools to meet the challenges of a dynamic regional and global future. In 2018, he spearheaded the STEM.T4L project in response to the Chief Scientist's report Science, Technology, Engineering and Mathematics: Australia's Future. This project provides New South Wales schools direct access to high quality expert staff, teaching and learning challenges via a purpose built STEM.T4L eLearning library and online teaching community. In 2019, with a focus on improving the outcomes of Aboriginal students, Mr Greentree implemented the Technology for Connected Communities initiative. This initiative provided 16 schools across 11 communities with essential, expert face-to-face support in the area of technology and ongoing mentorship to staff, with the aim to strengthen the educational outcomes for Aboriginal students. Mr Greentree is dedicated to delivering improved student outcomes through his visionary use of digital resources. He is a supportive leader with an unflappable commitment to navigating challenging circumstances and identifying innovative solutions for the advancement of public education.  "
2010574,01/26/2022 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Mr Matthew John McFARLANE,Matthew John,McFARLANE,Wollongong,NSW,2500,Australia Day 2022 Honours List,,NSW Public Service,"For outstanding public service to emergency management in New South Wales, particularly in response to the 2019-2020 bushfires.","In 2019 and 2020 Mr McFarlane led the Disaster Welfare Services Branch and the Welfare Services Functional Area to support local communities and individuals impacted by bushfires, flooding, and the COVID-19 pandemic. He provided outstanding leadership and high-level assistance while under pressure, ensuring essential services and appropriate support for staff and volunteers were consistently provided, often working seven days a week during this period. Mr McFarlane's service at Resilience New South Wales saw him support the establishment of over 90 evacuation centres for bushfire affected communities across a four-month period, with 22 operating concurrently. He also established assistance through Service New South Wales for the inundated Disaster Welfare Assistance line, resulting in enquiries being triaged to ensure more effective outcomes for callers, and allowing agencies to prioritise their response to those most in need. Mr McFarlane led the Disaster Welfare team to administer the Disaster Relief Grant, implementing new processes to produce significant efficiencies in the administration and provision of key essential contents, repair and replacement of damaged structures. His team administered and managed the project of 90 full structural rebuilds of primary places of residence, vastly out-numbering previous disaster events of 5-6 structural rebuilds.  His work ethic, resilience and unwavering support of staff has been nothing short of outstanding. He has gone above and beyond normal requirements, providing bespoke project delivery in a high profile and publicly sensitive landscape. His efforts have directly resulted in efficiencies and successful delivery of services in incredibly trying times, with positive outcomes and benefits to impacted communities across the state.  "
2010575,01/26/2022 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Dr Judith PERL,Judith,PERL,Drummoyne,NSW,2047,Australia Day 2022 Honours List,,NSW Public Service,For outstanding public service to drink and drug driving research and road safety in New South Wales.,"Dr Judith Perl has over 34 years of service with the New South Wales Police Force, working in the Police Medical Branch, the Clinical Forensic Medicine Unit and the Traffic and Highway Patrol Command. Dr Perl is currently serving as Clinical Pharmacologist, in the Impaired Driving Research Unit. Dr Perl has made significant contributions to drink and drug driving research since 1982 and assisted in innumerable New South Wales Police investigations. Her work has led to crucial changes in legislation and has directly contributed to taking impaired drivers off roads, making roads safer and lowering the road death toll across New South Wales. Dr Perl has worked on countless criminal, coronial and traffic matters over the years, notably the 1989 collision of a tourist bus and truck near Grafton, involving the deaths of 21 people, and the 2011 Quakers Hill nursing home fire in which 11 residents lost their lives. Dr Perl is the primary New South Wales Police and prosecution expert for drink and drug driving, and criminal drug matters and has been cross-examined more than any other expert witness. She is highly regarded among Local, District, Supreme and Coroners Courts, with committees and organisations often delaying their decision on an issue until Dr Perl has provided her perspective.  Dr Perl has been part of numerous reviews, research, working groups and committees, including the New South Wales Parliamentary Staysafe Committee and the National Drug Driving Working Group. She was a key stakeholder in a review on prescription medicines and driving, which had the crucial outcome of amending the definition of 'drug' in the Road Transport Act, and also completed a report on the accuracy and reliability of nine breath-analysing instruments for alcohol. Dr Perl's commitment to the New South Wales Police Force, the community, and victims and families of road trauma is admirable, and her advocacy for greater road safety has undoubtedly saved lives. "
2010576,01/26/2022 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Mrs Sandra Lee ROTHWELL,Sandra Lee,ROTHWELL,Greystanes,NSW,2145,Australia Day 2022 Honours List,,NSW Public Service,"For outstanding public service to Revenue New South Wales, particularly through the COVID-19 pandemic.","Mrs Sandra Rothwell commenced service with the former Department of Finance in 1988, and is currently serving as Director, Business Tax, at Revenue New South Wales. Throughout her career Mrs Rothwell has consistently delivered significant reforms benefiting both customers directly and the overall economic health of New South Wales.  Mrs Rothwell's career has spanned all facets of tax administration, including Land Tax and Technical Advisory Services, with a focus on Business Taxes. She has contributed to numerous projects and initiatives resulting in improvements to customer experience, customer satisfaction and upfront tax compliance.  In the shift to digitise the administration of business taxes, Mrs Rothwell led many initiatives including the innovative move from paper to digital for payroll tax customers nearly 20 years ago. She also led payroll tax harmonisation between states and continues to represent NSW at interjurisdictional forums while leading Revenue New South Wales's strategic partnership with the Australian Taxation Office (ATO).  Her ability to be agile and respond to changing customer needs resulted in the seamless and rapid delivery of essential COVID-19 stimulus. Mrs Rothwell implemented stimulus measures across her revenue streams, whilst supporting JobSaver and Service New South Wales. She worked collaboratively with New South Wales Treasury to ensure the Government's stimulus packages were delivered for the benefit of New South Wales. She demonstrated practical agility and technical ability in designing solutions to incredibly complex problems, such as the change in date for the Payroll Tax Annual Return which had never been done before.  Mrs Rothwell always ensures the customer is at the centre of design thinking and change management which is evidenced by increasing customer satisfaction. A national leader on many tax matters with the ATO and highly influential in inter-governmental settings, and a strong ambassador for the New South Wales Government and its customers, Mrs Rothwell has had a significant impact across state revenue organisations and the industry at large. "
2010577,01/26/2022 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Ms Margaret Ann (Anne) SKEWES,Margaret Ann (Anne),SKEWES,Annangrove,NSW,2156,Australia Day 2022 Honours List,,NSW Public Service,For outstanding public service to the New South Wales Government and people of New South Wales.,"Ms Anne Skewes has made significant contributions to the New South Wales Government and communities through a number of public service roles and currently serves as Head of Aerotropolis Development at the Western Parkland City Authority. As Deputy Director General of the New South Wales Department of Finance and Services, Ms Skewes delivered a program generating $1 billion in savings. She led the New South Wales Land and Housing Corporation (LAHC) from 2013-2019 which resulted in $58 million of efficiencies in outsourcing and service reform. Outsourced contracts supported local and Aboriginal employment, disability providers, training and apprenticeships, and achieved over 90 per cent tenant satisfaction levels.  Ms Skewes work has had substantial impacts on New South Wales communities through the delivery of new, fit for purpose social housing, including the Millers Point investment program which generated $500 million in sale proceeds to fund over 1,500 new social housing dwellings across New South Wales. Additionally, she led the design and delivery of the $22 billion Communities Plus program, the largest social housing infrastructure program in Australia, leveraging private capital to deliver 23,500 new and replacement social and affordable housing dwellings.  As Deputy Secretary, Crown Lands, Ms Skewes exceeded expectations through leading the prompt resolution of a record number of Aboriginal Land Claims. From 2019-2020 1,505 claims were processed and over 4,700 hectares of land was granted to over 50 different Local Aboriginal Land Councils delivering cultural, social, and economic benefits for Aboriginal communities.  In her current role, Ms Skewes leads the implementation of the vision for the Western Sydney Aerotropolis through supporting the delivery of business cases to secure over $1 billion in funding for the delivery of the new Bradfield City Centre, assisting in the growth of new jobs and industries in Western Sydney.  Over her career, Ms Skewes has consistently improved the delivery and efficiency of public services. She is a dedicated leader who is committed to ongoing improvement and innovation. "
