person,person_label,person_description,refurl,orderaus,award_name,honsid,date_awarded,sitelink
http://www.wikidata.org/entity/Q80976,"Prince Philip, Duke of Edinburgh","member of the British royal family, husband of Queen Elizabeth II (1921–2021)",https://honours.pmc.gov.au/honours/awards/1504790,http://www.wikidata.org/entity/Q9684031,NA,1504790,2015-01-26T00:00:00Z,"https://en.wikipedia.org/wiki/Prince_Philip,_Duke_of_Edinburgh"
http://www.wikidata.org/entity/Q70193,Inge King,German–Australian sculptor (1915-2016),https://honours.pmc.gov.au/honours/awards/869833,http://www.wikidata.org/entity/Q9678710,NA,869833,1984-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Inge_King
http://www.wikidata.org/entity/Q72078,Bernhard Neumann,German-born British mathematician,https://honours.pmc.gov.au/honours/awards/881423,http://www.wikidata.org/entity/Q9680541,NA,881423,1994-06-10T00:00:00Z,https://en.wikipedia.org/wiki/Bernhard_Neumann
http://www.wikidata.org/entity/Q80966,Cate Blanchett,Australian actress and producer,https://honours.pmc.gov.au/honours/awards/1769653,http://www.wikidata.org/entity/Q9680541,NA,1769653,2017-06-12T00:00:00Z,https://en.wikipedia.org/wiki/Cate_Blanchett
http://www.wikidata.org/entity/Q265090,Jessica Watson,Australian sailor,https://honours.pmc.gov.au/honours/awards/1145469,http://www.wikidata.org/entity/Q9682417,NA,1145469,2012-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Jessica_Watson
http://www.wikidata.org/entity/Q267745,William Deane,Australian Governor-General (1996-2001) and judge,https://honours.pmc.gov.au/honours/awards/882262,http://www.wikidata.org/entity/Q9680541,NA,882262,1988-01-26T00:00:00Z,https://en.wikipedia.org/wiki/William_Deane
http://www.wikidata.org/entity/Q268123,Raelene Boyle,Australian sprinter,https://honours.pmc.gov.au/honours/awards/1134693,http://www.wikidata.org/entity/Q9678710,NA,1134693,2007-06-11T00:00:00Z,https://en.wikipedia.org/wiki/Raelene_Boyle
http://www.wikidata.org/entity/Q268352,Michael Turtur,Australian racing cyclist,https://honours.pmc.gov.au/honours/awards/887452,http://www.wikidata.org/entity/Q9682417,NA,887452,1985-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Michael_Turtur
http://www.wikidata.org/entity/Q268352,Michael Turtur,Australian racing cyclist,https://honours.pmc.gov.au/honours/awards/2000841,http://www.wikidata.org/entity/Q9684829,NA,2000841,2018-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Michael_Turtur
http://www.wikidata.org/entity/Q269372,Bob Hawke,"Australian politician, 23rd Prime Minister of Australia (1929-2019)",https://honours.pmc.gov.au/honours/awards/881975,http://www.wikidata.org/entity/Q9680541,NA,881975,1979-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Bob_Hawke
