name,gender,wikipedia_page,award_comb,state,first_honours_date,first_honours_year,pre_post_wikipedia,wikipedia_url,wikipedia_page_id,award_id,wp_creation_date,honours_date,wikipedia_creation_year,honours_year,award_name,announcement_event,division,citation,person_description,number_of_honours,new_honours_date,new_honours_year,wp_creation_year,time_diff,year_diff,wikipedia_week,new_honours_week,week_diff
A. D. Hope,Male,Yes,AC,ACT,1981-01-25,1981,Pre,https://en.wikipedia.org/wiki/A._D._Hope,988577,870165,2004-09-16,1981-01-25,2004,1981,Companion of the Order of Australia,Australia Day 1981 Honours List,G,For service to literature.,Australian poet and essayist (1907-2000),1,2001-01-15,2001,2004,1340,3,2004-W38,2001-W03,191
A. G. L. Shaw,Male,Yes,AO,VIC,1982-06-13,1982,Pre,https://en.wikipedia.org/wiki/A._G._L._Shaw,10358502,881486,2007-03-30,1982-06-13,2007,1982,Officer of the Order of Australia,The Queen's Birthday 1982 Honours List,G,AO QB1982. FOR SERVICE TO EDUCATION,Australian historian (1916-2012),1,2001-01-15,2001,2007,2265,6,2007-W13,2001-W03,323
A. W. Martin,Male,Yes,AM,ACT,1998-06-07,1998,Pre,https://en.wikipedia.org/wiki/A._W._Martin,60271096,881204,2019-03-19,1998-06-07,2019,1998,Member of the Order of Australia,The Queen's Birthday 1998 Honours List,G,"FOR SERVICE IN THE FIELD OF AUSTRALIAN HISTORIOGRAPHY AS A TEACHER SCHOLAR, AND BIOGRAPHER AND AS FOUNDATION PROFESSOR OF THE HISTORY DEPARTMENT AT LA TROBE UNIVERSITY. AM S242 1998",Australian historian,1,2001-01-15,2001,2019,6637,18,2019-W12,2001-W03,948
Aaron Kearney,Male,Yes,OAM,NSW,2020-06-06,2020,Post,https://en.wikipedia.org/wiki/Aaron_Kearney,35535936,2007175,2012-04-18,2020-06-06,2012,2020,Medal of the Order of Australia,The Queen's Birthday 2020 Honours List,G,For service to the broadcast media as a radio presenter.,Australian broadcaster and journalist,1,2020-06-06,2020,2012,-2971,-8,2012-W16,2020-W23,-425
Abdul Taib Mahmud,Male,Yes,AO,Other,2001-12-20,2001,Post,https://en.wikipedia.org/wiki/Abdul_Taib_Mahmud,8703527,1042963,2005-08-27,2001-12-20,2005,2001,Officer of the Order of Australia,NA,HG,For service to Australian-Malaysian bilateral relations.,seventh and current Yang di-Pertua Negeri of Sarawak,1,2001-12-20,2001,2005,1346,4,2005-W34,2001-W51,192
Adair Ferguson,Female,Yes,OAM,QLD,1987-01-25,1987,Pre,https://en.wikipedia.org/wiki/Adair_Ferguson,57209782,887391,2018-04-23,1987-01-25,2018,1987,Medal of the Order of Australia,Australia Day 1987 Honours List,G,In recognition of service to the sport of rowing,Australian rower,1,2001-01-15,2001,2018,6307,17,2018-W17,2001-W03,901
Adam Gilchrist,Male,Yes,AM,Other,2010-06-13,2010,Post,https://en.wikipedia.org/wiki/Adam_Gilchrist,896430,1142669,2004-08-13,2010-06-13,2004,2010,Member of the Order of Australia,The Queen's Birthday 2010 Honours List,G,"For service to cricket as a player, and to the community as a supporter of a range of charitable organisations.",Australian cricketer,1,2010-06-13,2010,2004,-2130,-6,2004-W33,2010-W23,-305
Adam Pine,Male,Yes,OAM,NSW,2001-01-25,2001,Post,https://en.wikipedia.org/wiki/Adam_Pine,5535560,887210,2006-06-13,2001-01-25,2006,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Sydney 2000 Olympic Games.,"Australian swimmer, Olympic gold medallist",1,2001-01-25,2001,2006,1965,5,2006-W24,2001-W04,280
Adam Voges,Male,Yes,OAM,WA,2020-01-25,2020,Post,https://en.wikipedia.org/wiki/Adam_Voges,3871822,2006030,2006-01-28,2020-01-25,2006,2020,Medal of the Order of Australia,Australia Day 2020 Honours List,G,For service to cricket.,Australian cricketer,1,2020-01-25,2020,2006,-5110,-14,2006-W04,2020-W04,-730
Ade Monsbourgh,Male,Yes,AO,VIC,1992-01-25,1992,Pre,https://en.wikipedia.org/wiki/Ade_Monsbourgh,58606942,870278,2018-09-29,1992-01-25,2018,1992,Officer of the Order of Australia,Australia Day 1992 Honours List,G,"For service to music, particularly jazz as a performer and composer.",Australian jazz musician,1,2001-01-15,2001,2018,6466,17,2018-W39,2001-W03,923
